input,tool_outputs
"Send a summary of the \""Annual Report.pdf\"" via SMS to the management team and add key points to the existing note \""Financial Updates\"" in the \""Business\"" folder.","{'open_and_get_file_path': ['Annual Report.pdf'], 'summarize_pdf': ['$1'], 'get_phone_number': ['management team'], 'append_note_content': ['Financial Updates', '$2', 'Business'], 'send_sms': [['$3'], '$2'], 'join': []}"
"Append \""Buy groceries\"" to the shopping list note, get directions from \""Home\"" to \""Grocery Store\"" for walking in Apple Maps, and create a reminder to purchase groceries by tomorrow.",{}
"Summarize the content of the \""Annual Report.pdf\"" file, then create a note with the summary in the \""Business Reports\"" folder, and finally open \""Masa\"" in Apple Maps to plan a visit.","{'open_and_get_file_path': ['Annual Report.pdf'], 'summarize_pdf': ['$1'], 'create_note': ['Annual Report Summary', '$2', 'Business Reports'], 'maps_open_location': ['Masa'], 'join': []}"
"Open and review the \""ProjectPlan.docx\"" file, then append the key points to the \""Project Notes\"" in the \""Work\"" folder. Reply to the email thread with John, attaching the lecture minutes document, and thank him for his input.",{}
"Open the note titled \""Project Plan\"" in the \""Work\"" folder, create a performance event for next Monday from 10:00 AM to 11:00 AM with location set to \""Conference Room\"" and invite Alice and Bob, then view the location of \""Fordham University\"" on Apple Maps.","{'open_note': ['Project Plan', 'Work'], 'get_email_address': ['Bob'], 'create_calendar_event': ['Performance Event', '2024-12-05 10:00:00', '2024-12-05 11:00:00', '', ['$2', '$3'], '', None], 'maps_open_location': ['Fordham University'], 'join': []}"
"Send an email to Lisa with the subject \""Gathering Directions\"" and attach the list file. In the email context, include a location through the 'context' parameter and add directions from your current location to the office using walking as the mode of transportation.",{}
"Open the file named \""Weekly_Planner.pdf\"".","{'open_and_get_file_path': ['Weekly_Planner.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Compose a new email to John.Doe@gmail.com and Jane.Smith@hotmail.com with the subject \""Rally Timetable\"" and attach the file \""Rally_Timetable.docx\"".","{'open_and_get_file_path': ['Rally_Timetable.docx'], 'compose_new_email': [['John.Doe@gmail.com', 'Jane.Smith@hotmail.com'], [], 'Rally Timetable', '', ['$1']], 'join': []}"
"Open the file named \""BirthdayInvites.docx\"" and send an SMS to Mom and Dad about the party venue update.","{'open_and_get_file_path': ['BirthdayInvites.docx'], 'get_phone_number': ['Dad'], 'send_sms': [['$2', '$3'], ""Hi Mom and Dad, just wanted to let you know that there has been an update on the party venue. I'll send you more details shortly.""], 'join': []}"
"Create a note titled \""Match Notes\"" in the \""Work\"" folder with the list and action items discussed, and then reply to the latest email with the match recap attached.",{}
"Add the latest project updates to the note titled \""Quarterly Review\"" in the \""Business\"" folder.","{'open_note': ['Quarterly Review', 'Business'], 'append_note_content': ['Quarterly Review', 'Latest project updates: ', 'Business'], 'join': []}"
"Forward the important email about tomorrow's protest to John and Jane, including the program \""FestivalSchedule.pdf\"" as an attachment. After that, send a reminder for \""Festival Preparation\"" due tomorrow at 9:00 AM and notify the team.",{}
"Create a reminder to \""Buy Birthday Gift\"" due tomorrow at 5:00 PM, with high priority, and then append gift ideas for \""Alice's Birthday\"" to the note in the \""Gift Ideas\"" folder.","{'create_reminder': ['Buy Birthday Gift', '2024-12-01 17:00:00', '', '', 1, False], 'append_note_content': [""Alice's Birthday"", 'Gift ideas: - Perfume - Book - Concert tickets - Custom jewelry', 'Gift Ideas'], 'join': []}"
"Create a reminder called \""Dentist Appointment\"" for next Wednesday at 2:30 PM with priority 1, and then open the location of the dentist clinic in Apple Maps to plan your route.",{}
"Compose an email with the subject \""Tournament Directions\"" to Sarah, attach the project presentation slides, and include the location directions from your current location to \""Masa\"" in the context for her reference.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['project presentation slides'], 'maps_show_directions': ['', 'Masa', 'd'], 'compose_new_email': [['$1'], [], 'Tournament Directions', '$3', ['$2']], 'join': []}"
"Schedule a study group session for the next Friday from 3:00 PM to 5:00 PM in the library, and invite Melissa, John, and Emily to join.","{'get_email_address': ['Emily'], 'create_calendar_event': ['Study Group Session', '2024-12-05 15:00:00', '2024-12-05 17:00:00', 'the library', ['$1', '$2', '$3'], '', None], 'join': []}"
"Send a message to Alex, Lisa: Debate tomorrow at 10 AM at Cafe Royale. Add a note in the \""Debate Notes\"" folder about the reunion list and include details discussed in the SMS.",{}
"Compose an email to John.Doe@google.com and Mary.Smith@google.com with the subject \""Lesson Schedule\"" and attach the file \""LessonSchedule.docx.\"" Additionally, append the room location \""Conference Room A, 5th Floor\"" to the note titled \""Weekly Lessons\"" in the \""Work\"" folder.",{}
"Open the note titled \""Grocery List\"" in the \""Personal\"" folder and then send a quick SMS to Mom thanking her for the recipe she shared.",{}
"Forward the selected email with the product updates to John and Jane, and then compose a new email to Sarah with the performance plan attached and a note to meet at Addison Park for the discussion.",{}
"Summarize the content of the \""Research_Paper.pdf\"" file after opening it.","{'open_and_get_file_path': ['Research_Paper.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Open directions in Apple Maps to Addison Library and add the library's hours of operation to the \""Library Info\"" note.","{'maps_show_directions': ['', 'Addison Library', 'd'], 'append_note_content': ['Library Info', 'Library hours of operation: ', ''], 'join': []}"
Find the phone number for Sarah and send her a message to wish her luck for her exam tomorrow.,"{'get_phone_number': ['Sarah'], 'send_sms': [['$1'], ""Good luck on your exam, Sarah! You've got this!""], 'join': []}"
"Create a calendar event for the team rally next Monday at 2:00 PM at \""Conference Room A\"" and invite John, Sarah, and Emily.","{'get_email_address': ['Emily'], 'create_calendar_event': ['Team Rally', '2024-12-05 14:00:00', '2024-12-05 15:00:00', 'Conference Room A', ['$1', '$2', '$3'], '', None], 'join': []}"
Forward the email to Sarah and Mark with the project proposal attached and open the presentation notes for review.,"{'get_email_address': ['Mark'], 'open_and_get_file_path': ['project proposal'], 'forward_email': [['$1', '$2'], [], '', ['$3']], 'open_note': ['presentation notes', ''], 'join': []}"
"Open the note titled \""Weekly Goals\"" in the \""Personal Development\"" folder and open the file \""PresentationSlides.key\"".","{'open_note': ['Weekly Goals', 'Personal Development'], 'open_and_get_file_path': ['PresentationSlides.key'], 'join': []}"
"Create a note titled \""Ideas\"" with brainstorming notes for the upcoming project in the \""Project Ideas\"" folder. After that, forward the email with the latest project updates to John and Emma.",{}
"Create a reminder for the dentist appointment on Thursday at 2:30 PM, with a note \""Don't forget your insurance card,\"" and set a priority level. Then, open the note \""Grocery List\"" in the \""Shopping\"" folder.","{'create_reminder': ['Dentist Appointment', '2024-12-05 14:30:00', '', '', 0, False], 'open_note': ['Grocery List', 'Shopping'], 'join': []}"
"Add the additional study resources to the note \""Homework\"" in the \""School\"" folder and review the updated content.","{'append_note_content': ['Homework', 'Additional study resources: ', 'School'], 'open_note': ['Homework', 'School'], 'join': []}"
"Summarize the content of \""Research_Paper.pdf\"" and send the summary via SMS to John and Emma. Afterwards, compose a new email to David with the subject \""Lecture Outline\"" and attach the summary PDF to the email.",{}
"Open the note \""Course List\"" in the \""Business\"" folder, compose a new email to Jessica and Tom regarding the upcoming get-together, and attach the document \""CourseNotes.docx\"" to the email.",{}
Forward the reunion details email to Emily with additional information about the conference venue and attach the updated schedule document.,"{'get_email_address': ['Emily'], 'open_and_get_file_path': ['updated schedule document'], 'forward_email': [['$1'], [], 'Please find the attached updated schedule document for the upcoming reunion.', ['$2']], 'join': []}"
"Open the note titled \""Project Ideas\"" in the folder \""Research,\"" append the new research findings to the note, and then send a summary update via SMS to Jane and Mark.",{}
"Compose an email to Lisa, Bob, and Anna regarding the weekend picnic at \""Parksong Lake\"" on Saturday. Provide directions in the email from \""Home\"" to \""Parksong Lake\"" for walking.",{}
"Forward the email to John.Doe@stanford.edu and Jane.Smith@stanford.edu, including the exhibition details and attaching the program document.","{'open_and_get_file_path': ['exhibition details'], 'forward_email': [['John.Doe@stanford.edu', 'Jane.Smith@stanford.edu'], [], '', ['$1', '$2']], 'join': []}"
"Append the details of the restaurant reservation to the note \""Dining Plans\"" in the \""Personal\"" folder and open the location \""The Dead Rabbit\"" in Apple Maps.","{'append_note_content': ['Dining Plans', 'Details of the restaurant reservation: ', ''], 'maps_open_location': ['The Dead Rabbit'], 'join': []}"
"Set a reminder to \""Purchase Birthday Gift for Mom\"" by next Sunday with high priority.",{}
"Open the note \""Project Ideas\"" in the \""Ideas\"" folder, then create a reminder to brainstorm new concepts by Friday at 2:00 PM. Additionally, schedule a virtual performance titled \""Creative Session\"" on Thursday with invitees Emma, Sam, and Alex.",{}
Show walking directions from your current location to 'Columbia University'.,"{'maps_show_directions': ['', 'Columbia University', 'w'], 'join': []}"
"Append the wedding outline to the note titled \""Team Exhibition Notes\"" in the \""Exhibitions\"" folder. After that, send an email to Jess and Alex with the new outline attached. In the email, include the location map for the wedding.",{}
"Compose an email to Sarah with the subject \""Workshop Timetable\"" and attach the document \""Timetable.docx\"". Please include the location map of the venue in the email context for tomorrow's party.",{}
