input,tool_outputs
"Send a summary of the \""Annual Report.pdf\"" via SMS to the management team and add key points to the existing note \""Financial Updates\"" in the \""Business\"" folder.","{'open_and_get_file_path': ['Annual Report.pdf'], 'summarize_pdf': ['$1'], 'get_phone_number': ['management team'], 'send_sms': [['$3'], '$2'], 'append_note_content': ['Financial Updates', '$2', 'Business'], 'join': []}"
"Append \""Buy groceries\"" to the shopping list note, get directions from \""Home\"" to \""Grocery Store\"" for walking in Apple Maps, and create a reminder to purchase groceries by tomorrow.","{'append_note_content': ['shopping list', 'Buy groceries', ''], 'maps_show_directions': ['Home', 'Grocery Store', 'w'], 'create_reminder': ['Purchase Groceries', '2024-04-01 08:41:00', '', '', 0, True], 'join': []}"
"Summarize the content of the \""Annual Report.pdf\"" file, then create a note with the summary in the \""Business Reports\"" folder, and finally open \""Masa\"" in Apple Maps to plan a visit.","{'open_and_get_file_path': ['Annual Report.pdf'], 'summarize_pdf': ['$1'], 'create_note': ['Annual Report Summary', '$2', 'Business Reports'], 'maps_open_location': ['Masa'], 'join': []}"
"Open and review the \""ProjectPlan.docx\"" file, then append the key points to the \""Project Notes\"" in the \""Work\"" folder. Reply to the email thread with John, attaching the lecture minutes document, and thank him for his input.","{'open_and_get_file_path': ['lecture minutes'], 'summarize_pdf': ['$1'], 'append_note_content': ['Project Notes', '$2', 'Work'], 'get_email_address': ['John'], 'reply_to_email': [['$4'], 'Thank you for your input.', ['$5']], 'join': []}"
"Open the note titled \""Project Plan\"" in the \""Work\"" folder, create a performance event for next Monday from 10:00 AM to 11:00 AM with location set to \""Conference Room\"" and invite Alice and Bob, then view the location of \""Fordham University\"" on Apple Maps.","{'open_note': ['Project Plan', 'Work'], 'get_email_address': ['Bob'], 'create_calendar_event': ['Performance Event', '2024-12-09 10:00:00', '2024-12-09 11:00:00', 'Conference Room', ['$2', '$3'], '', None], 'maps_open_location': ['Fordham University'], 'join': []}"
"Send an email to Lisa with the subject \""Gathering Directions\"" and attach the list file. In the email context, include a location through the 'context' parameter and add directions from your current location to the office using walking as the mode of transportation.","{'get_email_address': ['Lisa'], 'open_and_get_file_path': ['list'], 'maps_show_directions': ['', 'office', 'w'], 'compose_new_email': [['$1'], [], 'Gathering Directions', '$3', ['$2']], 'join': []}"
"Open the file named \""Weekly_Planner.pdf\"".","{'open_and_get_file_path': ['Weekly_Planner.pdf'], 'join': []}"
"Compose a new email to John.Doe@gmail.com and Jane.Smith@hotmail.com with the subject \""Rally Timetable\"" and attach the file \""Rally_Timetable.docx\"".","{'open_and_get_file_path': ['Rally_Timetable.docx'], 'compose_new_email': [['John.Doe@gmail.com', 'Jane.Smith@hotmail.com'], [], 'Rally Timetable', '', ['$1']], 'join': []}"
"Open the file named \""BirthdayInvites.docx\"" and send an SMS to Mom and Dad about the party venue update.","{'open_and_get_file_path': ['BirthdayInvites.docx'], 'get_phone_number': ['Dad'], 'send_sms': [['$2', '$3'], ""Hi Mom and Dad, just wanted to update you on the party venue details. I'll send you the invite document shortly.""], 'join': []}"
"Create a note titled \""Match Notes\"" in the \""Work\"" folder with the list and action items discussed, and then reply to the latest email with the match recap attached.","{'create_note': ['Match Notes', 'List and action items discussed will be added here.', 'Work'], 'open_and_get_file_path': ['match recap'], 'reply_to_email': [[], 'Please find the attached match recap.', ['$2']], 'join': []}"
"Add the latest project updates to the note titled \""Quarterly Review\"" in the \""Business\"" folder.","{'append_note_content': ['Quarterly Review', 'Latest project updates will be added here.', 'Business'], 'join': []}"
"Forward the important email about tomorrow's protest to John and Jane, including the program \""FestivalSchedule.pdf\"" as an attachment. After that, send a reminder for \""Festival Preparation\"" due tomorrow at 9:00 AM and notify the team.","{'get_email_address': ['Jane'], 'open_and_get_file_path': ['FestivalSchedule.pdf'], 'forward_email': [['$1', '$2'], [], '', ['$3']], 'create_reminder': ['Festival Preparation', '2024-04-02 09:00:00', '', '', 0, False], 'send_sms': [['team'], 'Reminder: Festival Preparation due tomorrow at 9:00 AM.'], 'join': []}"
